provider,n,mean_ZZ_expectation_value
IBM default,20,0.9672701254271798
IBM default,40,0.9581225265035905
IBM default,60,0.9551869464566981
IBM default,80,0.9366332468865426
Q-CTRL,20,0.9626421052631579
Q-CTRL,40,0.9492410256410257
Q-CTRL,60,0.9331966101694915
Q-CTRL,80,0.8852759493670886
QESEM,20,0.9996539146194046
QESEM,40,1.0070513389217377
