n,observable,IBM default,Q-CTRL,QESEM
20,XXXXXXXXXXXXXXXXXXXX,0.915924682528098,0.348,0.1321610728763227
20,Z0Z1,0.0238007152546553,0.0283999999999999,0.0211605719067173
20,Z10Z11,0.0191876401694492,0.048,0.003038484179568
20,Z11Z12,0.0268719995012157,0.0794,0.0014380274947169
20,Z12Z13,0.021743170414421,0.034,0.0316550464674281
20,Z13Z14,0.0707749766573295,0.0258,0.0141429761506972
20,Z14Z15,0.0559284116331095,0.0258,0.009412923120093
20,Z15Z16,0.0385543659879943,0.0288,0.0135956810163571
20,Z16Z17,0.0293678446988551,0.0422,0.0137486023540082
20,Z17Z18,0.0347058091802463,0.0353999999999999,0.0120813520698381
20,Z18Z19,0.0290053529192082,0.009,0.012983602226573
20,Z1Z2,0.0324102818825282,0.0614,0.012560640787562
20,Z2Z3,0.0204795204795205,0.0377999999999999,0.0122249673264283
20,Z3Z4,0.0285179407176286,0.0402,0.000715488550099
20,Z4Z5,0.0195786864931846,0.0273999999999999,0.0068395690661315
20,Z5Z6,0.0378023881705128,0.035,0.0207303693816967
20,Z6Z7,0.0249472508377808,0.0315999999999999,0.0187852346276258
20,Z7Z8,0.0416072425125565,0.0392,0.0014862601782652
20,Z8Z9,0.0272630856572462,0.0343999999999999,0.0088986875972152
20,Z9Z10,0.0393209337161403,0.046,0.0225710355222424
40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.8355195832170434,0.6836,0.1820420909729385
40,Z0Z1,0.3161616161616162,0.0924,0.0082513243092282
40,Z10Z11,0.0287555775904808,0.0443999999999999,0.0306689941479498
40,Z11Z12,0.041945892280963,0.053,0.0146307055346726
40,Z12Z13,0.0315422017204837,0.0572,0.0319851663042025
40,Z13Z14,0.0356341888861201,0.0655999999999999,0.0364308762099421
40,Z14Z15,0.045716766949941,0.0625999999999999,0.0063472809627314
40,Z15Z16,0.0501397949673811,0.0998,0.0074664345240107
40,Z16Z17,0.031492639294366,0.0724,0.0305120007577741
40,Z17Z18,0.0491864134133515,0.041,0.0013935153514873
40,Z18Z19,0.0351907972045272,0.0315999999999999,0.0220778108417971
40,Z19Z20,0.063453515162837,0.0704,0.0155292199177632
40,Z1Z2,0.0556039308371687,0.1121999999999999,0.0049580985939892
40,Z20Z21,0.0532840773902698,0.0794,0.0265223569566979
40,Z21Z22,0.0401794057185572,0.041,0.0012573618631707
40,Z22Z23,0.0379338175948344,0.037,0.0122298508118994
40,Z23Z24,0.0195417369045389,0.043,0.0033264294122083
40,Z24Z25,0.0146408323468942,0.0242,0.0333896741209425
40,Z25Z26,0.0347890451517394,0.0305999999999999,0.0358579100910603
40,Z26Z27,0.0293881086431974,0.0654,0.018314966507539
40,Z27Z28,0.0244633050424363,0.0726,0.0046851238173808
40,Z28Z29,0.022640326121041,0.0353999999999999,0.0444728270434251
40,Z29Z30,0.0294852573713143,0.0445999999999999,0.0189985799091833
40,Z2Z3,0.0480333064065121,0.0557999999999999,0.0048659471955005
40,Z30Z31,0.0054780876494023,0.0413999999999999,0.032912106498342
40,Z31Z32,0.0310265497730523,0.0305999999999999,0.0541766999457233
40,Z32Z33,0.0249472508377808,0.0268,0.0011453481353809
40,Z33Z34,0.0266988787709843,0.0395999999999999,0.012252383620507
40,Z34Z35,0.0212555610479485,0.0312,0.0009183823202971
40,Z35Z36,0.0333209463644246,0.0395999999999999,0.0129675327297209
40,Z36Z37,0.0158058494088363,0.0263999999999999,0.0081826506551341
40,Z37Z38,0.0105954520106573,0.0285999999999999,0.0186467844339559
40,Z38Z39,0.0059872847355101,0.0128,0.0112339042532733
40,Z3Z4,0.0486514388953412,0.062,0.0021916216311779
40,Z4Z5,0.0220730605395637,0.0443999999999999,0.0120365786597582
40,Z5Z6,0.0612219216007047,0.0665999999999999,0.0068318800065285
40,Z6Z7,0.0468877840015105,0.0484,0.0073492802872494
40,Z7Z8,0.053474939444755,0.054,0.0241524443222025
40,Z8Z9,0.0424844720496894,0.0432,0.0092423378837691
40,Z9Z10,0.0441094360692351,0.0524,0.0280357341633188
60,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.7574746210540955,0.861,
60,Z0Z1,0.0905137603280114,0.1321999999999999,
60,Z10Z11,0.0687456599962124,0.0931999999999999,
60,Z11Z12,0.0856140790380158,0.0617999999999999,
60,Z12Z13,0.0594203817616842,0.1091999999999999,
60,Z13Z14,0.0420761868054216,0.0679999999999999,
60,Z14Z15,0.0436500350474734,0.0644,
60,Z15Z16,0.0580290145072536,0.0565999999999999,
60,Z16Z17,0.0588822978457695,0.0677999999999999,
60,Z17Z18,0.0517262869250904,0.0981999999999999,
60,Z18Z19,0.0530956964540768,0.0899999999999999,
60,Z19Z20,0.0388022457891453,0.0632,
60,Z1Z2,0.0846659228957481,0.1186,
60,Z20Z21,0.0636713416904555,0.0694,
60,Z21Z22,0.0673664711330657,0.055,
60,Z22Z23,0.0469242658423493,0.0899999999999999,
60,Z23Z24,0.0620826119218401,0.0956,
60,Z24Z25,0.0516025244400445,0.0799999999999999,
60,Z25Z26,0.0361088821677674,0.0505999999999999,
60,Z26Z27,0.0654112983151635,0.057,
60,Z27Z28,0.0509335704305855,0.0567999999999999,
60,Z28Z29,0.0209666181035028,0.0682,
60,Z29Z30,0.0424806201550387,0.0487999999999999,
60,Z2Z3,0.0637450199203187,0.0774,
60,Z30Z31,0.0394999999999999,0.0944,
60,Z31Z32,0.0257144636074964,0.1081999999999999,
60,Z32Z33,0.033292231812577,0.0832,
60,Z33Z34,0.0263239393000929,0.0582,
60,Z34Z35,0.0332130862047518,0.0719999999999999,
60,Z35Z36,0.0323263780753659,0.0393999999999999,
60,Z36Z37,0.0383898620946701,0.0432,
60,Z37Z38,0.0228780457560915,0.025,
60,Z38Z39,0.0365997638724912,0.0686,
60,Z39Z40,0.0296857533225686,0.0869999999999999,
60,Z3Z4,0.0752054193062786,0.0752,
60,Z40Z41,0.0731130607927322,0.0432,
60,Z41Z42,0.0676767676767676,0.0275999999999999,
60,Z42Z43,0.0451888630507196,0.0417999999999999,
60,Z43Z44,0.0182872997855971,0.0385999999999999,
60,Z44Z45,0.0171356307303193,0.0474,
60,Z45Z46,0.0315074523614866,0.042,
60,Z46Z47,0.0779590779590779,0.0515999999999999,
60,Z47Z48,0.051211559363212,0.0505999999999999,
60,Z48Z49,0.0245474832630795,0.06,
60,Z49Z50,0.0229045437662498,0.0403999999999999,
60,Z4Z5,0.0861010151648076,0.0917999999999999,
60,Z50Z51,0.0248731592624674,0.0303999999999999,
60,Z51Z52,0.0114529808704265,0.0262,
60,Z52Z53,0.0242372770627817,0.0484,
60,Z53Z54,0.0114158246949218,0.1006,
60,Z54Z55,0.0202459321823376,0.1021999999999999,
60,Z55Z56,0.0172659199207871,0.033,
60,Z56Z57,0.0106112317716413,0.026,
60,Z57Z58,0.0075485707214453,0.0293999999999999,
60,Z58Z59,0.0188163696205675,0.0385999999999999,
60,Z5Z6,0.0835990745951353,0.0682,
60,Z6Z7,0.0897357516473065,0.0859999999999999,
60,Z7Z8,0.0290681879923934,0.0976,
60,Z8Z9,0.0609377966208947,0.1143999999999999,
60,Z9Z10,0.0417172427010796,0.0789999999999999,
80,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1.0362116991643453,0.9962,
80,Z0Z1,0.0696736802318256,0.1124,
80,Z10Z11,0.0699207606973059,0.1316,
80,Z11Z12,0.0855853031538027,0.0954,
80,Z12Z13,0.0603399254438618,0.0919999999999999,
80,Z13Z14,0.0686582473235464,0.1114,
80,Z14Z15,0.1627430910951893,0.0928,
80,Z15Z16,0.1546469334002257,0.1206,
80,Z16Z17,0.0682932964406992,0.1228,
80,Z17Z18,0.0739372691416765,0.0796,
80,Z18Z19,0.085458390347058,0.0722,
80,Z19Z20,0.0621533754063874,0.0746,
80,Z1Z2,0.0726429675425038,0.1153999999999999,
80,Z20Z21,0.0850915542038902,0.0739999999999999,
80,Z21Z22,0.0876889848812094,0.0852,
80,Z22Z23,0.1495789995047053,0.0662,
80,Z23Z24,0.1574515509875549,0.0706,
80,Z24Z25,0.0613834456326883,0.0849999999999999,
80,Z25Z26,0.0458760974403363,0.1163999999999999,
80,Z26Z27,0.0800024864797662,0.0742,
80,Z27Z28,0.0889041181234814,0.0819999999999999,
80,Z28Z29,0.0603426868636702,0.0794,
80,Z29Z30,0.0470048369093389,0.1051999999999999,
80,Z2Z3,0.0898827616152844,0.1425999999999999,
80,Z30Z31,0.06483836942359,0.0799999999999999,
80,Z31Z32,0.0598757763975155,0.0996,
80,Z32Z33,0.0657332259463477,1.4304,
80,Z33Z34,0.0471340743960753,0.5264,
80,Z34Z35,0.0619732275656915,0.0976,
80,Z35Z36,0.0578635014836795,0.0906,
80,Z36Z37,0.0617906683480453,0.1129999999999999,
80,Z37Z38,0.0360166814103374,0.1685999999999999,
80,Z38Z39,0.0547996504805892,0.1048,
80,Z39Z40,0.0377594398599649,0.0737999999999999,
80,Z3Z4,0.1129497304751159,0.1161999999999999,
80,Z40Z41,0.0328410294759144,0.0647999999999999,
80,Z41Z42,0.2719852050251897,0.0662,
80,Z42Z43,0.2714312989244575,0.0936,
80,Z43Z44,0.0424137504637072,0.1261999999999999,
80,Z44Z45,0.0518298346646851,0.0864,
80,Z45Z46,0.0298220596441193,0.0574,
80,Z46Z47,0.0525049084805877,0.0567999999999999,
