n,observable,IBM default,Q-CTRL,QESEM,QCTRL_minus_QESEM,QCTRL_better_than_QESEM
20,XXXXXXXXXXXXXXXXXXXX,0.915924682528098,0.348,0.1321610728763227,0.21583892712367728,False
20,Z0Z1,0.0238007152546553,0.0283999999999999,0.0211605719067173,0.0072394280932825995,False
20,Z10Z11,0.0191876401694492,0.048,0.003038484179568,0.044961515820432,False
20,Z11Z12,0.0268719995012157,0.0794,0.0014380274947169,0.0779619725052831,False
20,Z12Z13,0.021743170414421,0.034,0.0316550464674281,0.0023449535325719,False
20,Z13Z14,0.0707749766573295,0.0258,0.0141429761506972,0.0116570238493028,False
20,Z14Z15,0.0559284116331095,0.0258,0.009412923120093,0.016387076879907002,False
20,Z15Z16,0.0385543659879943,0.0288,0.0135956810163571,0.0152043189836429,False
20,Z16Z17,0.0293678446988551,0.0422,0.0137486023540082,0.0284513976459918,False
20,Z17Z18,0.0347058091802463,0.0353999999999999,0.0120813520698381,0.023318647930161796,False
20,Z18Z19,0.0290053529192082,0.009,0.012983602226573,-0.003983602226573001,True
20,Z1Z2,0.0324102818825282,0.0614,0.012560640787562,0.048839359212438004,False
20,Z2Z3,0.0204795204795205,0.0377999999999999,0.0122249673264283,0.025575032673571602,False
20,Z3Z4,0.0285179407176286,0.0402,0.000715488550099,0.039484511449901,False
20,Z4Z5,0.0195786864931846,0.0273999999999999,0.0068395690661315,0.0205604309338684,False
20,Z5Z6,0.0378023881705128,0.035,0.0207303693816967,0.014269630618303303,False
20,Z6Z7,0.0249472508377808,0.0315999999999999,0.0187852346276258,0.012814765372374099,False
20,Z7Z8,0.0416072425125565,0.0392,0.0014862601782652,0.0377137398217348,False
20,Z8Z9,0.0272630856572462,0.0343999999999999,0.0088986875972152,0.025501312402784703,False
20,Z9Z10,0.0393209337161403,0.046,0.0225710355222424,0.0234289644777576,False
40,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.8355195832170434,0.6836,0.1820420909729385,0.5015579090270614,False
40,Z0Z1,0.3161616161616162,0.0924,0.0082513243092282,0.0841486756907718,False
40,Z10Z11,0.0287555775904808,0.0443999999999999,0.0306689941479498,0.013731005852050098,False
40,Z11Z12,0.041945892280963,0.053,0.0146307055346726,0.0383692944653274,False
40,Z12Z13,0.0315422017204837,0.0572,0.0319851663042025,0.025214833695797502,False
40,Z13Z14,0.0356341888861201,0.0655999999999999,0.0364308762099421,0.029169123790057795,False
40,Z14Z15,0.045716766949941,0.0625999999999999,0.0063472809627314,0.05625271903726851,False
40,Z15Z16,0.0501397949673811,0.0998,0.0074664345240107,0.0923335654759893,False
40,Z16Z17,0.031492639294366,0.0724,0.0305120007577741,0.0418879992422259,False
40,Z17Z18,0.0491864134133515,0.041,0.0013935153514873,0.0396064846485127,False
40,Z18Z19,0.0351907972045272,0.0315999999999999,0.0220778108417971,0.009522189158202798,False
40,Z19Z20,0.063453515162837,0.0704,0.0155292199177632,0.0548707800822368,False
40,Z1Z2,0.0556039308371687,0.1121999999999999,0.0049580985939892,0.1072419014060107,False
40,Z20Z21,0.0532840773902698,0.0794,0.0265223569566979,0.0528776430433021,False
40,Z21Z22,0.0401794057185572,0.041,0.0012573618631707,0.0397426381368293,False
40,Z22Z23,0.0379338175948344,0.037,0.0122298508118994,0.024770149188100596,False
40,Z23Z24,0.0195417369045389,0.043,0.0033264294122083,0.039673570587791696,False
40,Z24Z25,0.0146408323468942,0.0242,0.0333896741209425,-0.009189674120942501,True
40,Z25Z26,0.0347890451517394,0.0305999999999999,0.0358579100910603,-0.005257910091060396,True
40,Z26Z27,0.0293881086431974,0.0654,0.018314966507539,0.047085033492461,False
40,Z27Z28,0.0244633050424363,0.0726,0.0046851238173808,0.0679148761826192,False
40,Z28Z29,0.022640326121041,0.0353999999999999,0.0444728270434251,-0.009072827043425206,True
40,Z29Z30,0.0294852573713143,0.0445999999999999,0.0189985799091833,0.025601420090816597,False
40,Z2Z3,0.0480333064065121,0.0557999999999999,0.0048659471955005,0.0509340528044994,False
40,Z30Z31,0.0054780876494023,0.0413999999999999,0.032912106498342,0.008487893501657899,False
40,Z31Z32,0.0310265497730523,0.0305999999999999,0.0541766999457233,-0.0235766999457234,True
40,Z32Z33,0.0249472508377808,0.0268,0.0011453481353809,0.0256546518646191,False
40,Z33Z34,0.0266988787709843,0.0395999999999999,0.012252383620507,0.0273476163794929,False
40,Z34Z35,0.0212555610479485,0.0312,0.0009183823202971,0.0302816176797029,False
40,Z35Z36,0.0333209463644246,0.0395999999999999,0.0129675327297209,0.026632467270279,False
40,Z36Z37,0.0158058494088363,0.0263999999999999,0.0081826506551341,0.0182173493448658,False
40,Z37Z38,0.0105954520106573,0.0285999999999999,0.0186467844339559,0.009953215566044001,False
40,Z38Z39,0.0059872847355101,0.0128,0.0112339042532733,0.0015660957467267013,False
40,Z3Z4,0.0486514388953412,0.062,0.0021916216311779,0.0598083783688221,False
40,Z4Z5,0.0220730605395637,0.0443999999999999,0.0120365786597582,0.0323634213402417,False
40,Z5Z6,0.0612219216007047,0.0665999999999999,0.0068318800065285,0.0597681199934714,False
40,Z6Z7,0.0468877840015105,0.0484,0.0073492802872494,0.0410507197127506,False
40,Z7Z8,0.053474939444755,0.054,0.0241524443222025,0.0298475556777975,False
40,Z8Z9,0.0424844720496894,0.0432,0.0092423378837691,0.0339576621162309,False
40,Z9Z10,0.0441094360692351,0.0524,0.0280357341633188,0.024364265836681203,False
