provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
Q-CTRL,29a732de-9d31-4304-86bc-7b5eb67578bf,,unavailable,100,MX_full,0.5720086669921873,0.08169423902073898,0.6884076447683998,0.11639897777621244
Q-CTRL,29a732de-9d31-4304-86bc-7b5eb67578bf,,unavailable,100,ZZ_full,0.35214079269255055,0.09396798303220474,0.3527952370879902,0.0006544443954396573
IBM raw,d902n1emvj5c73eimnj0,19.196572924,usage_estimation.quantum_seconds,125,MZ_full,-0.026758300781250004,0.0004905325171231701,4.6147264600565347e-10,0.02675830124272265
IBM raw,d902n1emvj5c73eimnj0,19.196572924,usage_estimation.quantum_seconds,125,MX_full,0.3832104492187499,0.00044722335035181896,0.687702623853359,0.3044921746346091
IBM raw,d902n1emvj5c73eimnj0,19.196572924,usage_estimation.quantum_seconds,125,ZZ_full,0.22871054372479835,0.00048072709769919543,0.3528801696088254,0.12416962588402705
IBM TREX + twirling,d903vd1ropqc738da780,40.938802727,usage_estimation.quantum_seconds,125,MZ_full,-0.00043149842655184126,0.0014943752316301977,4.6147264600565347e-10,0.00043149888802448727
IBM TREX + twirling,d903vd1ropqc738da780,40.938802727,usage_estimation.quantum_seconds,125,MX_full,0.3738489871622416,0.001107442368926852,0.687702623853359,0.31385363669111743
IBM TREX + twirling,d903vd1ropqc738da780,40.938802727,usage_estimation.quantum_seconds,125,ZZ_full,0.21690051438265365,0.0007918318313916855,0.3528801696088254,0.13597965522617175
Q-CTRL,e3c41fb7-3dd8-4648-ba29-035cd66270ec,,unavailable,125,MZ_full,-0.10297412109374998,0.08805943519749697,4.6147264600565347e-10,0.10297412155522263
Q-CTRL,e3c41fb7-3dd8-4648-ba29-035cd66270ec,,unavailable,125,MX_full,0.5272153320312502,0.07514532752184531,0.687702623853359,0.16048729182210886
Q-CTRL,e3c41fb7-3dd8-4648-ba29-035cd66270ec,,unavailable,125,ZZ_full,0.31579639065650195,0.0846473236909529,0.3528801696088254,0.037083778952323454
