provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
Q-CTRL,e6890fb9-566d-4f4e-be9b-ea9a6a5f9e86,,unavailable,60,MX_probe,0.6835749999999999,0.25682218921853306,0.6976613207346548,0.014086320734654878
Q-CTRL,e6890fb9-566d-4f4e-be9b-ea9a6a5f9e86,,unavailable,60,ZZ_probe,0.47272500000000006,0.3114875569344625,0.49792324720474335,0.025198247204743285
QESEM,93ac77b4-4fe6-47bd-b257-b9444355e6b0,,unavailable,60,MZ_probe,0.004959759713490227,0.0026647969369164737,7.495880667373303e-14,0.004959759713415268
QESEM,93ac77b4-4fe6-47bd-b257-b9444355e6b0,,unavailable,60,MX_probe,0.6984306388563345,0.006149505430468743,0.6976613207346548,0.0007693181216796852
QESEM,93ac77b4-4fe6-47bd-b257-b9444355e6b0,,unavailable,60,ZZ_probe,0.49999215781411493,0.004742324806897677,0.49792324720474335,0.002068910609371588
IBM raw,d8sfutkbp3hs73832ceg,12.365719463,usage_estimation.quantum_seconds,80,MZ_probe,0.0007000000000000001,0.0035314319156682034,1.3254528144477526e-13,0.0006999999998674549
IBM raw,d8sfutkbp3hs73832ceg,12.365719463,usage_estimation.quantum_seconds,80,MX_probe,0.6577249999999999,0.0026571473072639386,0.6976613207457192,0.03993632074571929
IBM raw,d8sfutkbp3hs73832ceg,12.365719463,usage_estimation.quantum_seconds,80,ZZ_probe,0.47175,0.0031162482450857476,0.49792324720473924,0.026173247204739236
IBM TREX + twirling,d8sg00tbh0os73eo4mp0,17.324909417,usage_estimation.quantum_seconds,80,MZ_probe,-0.0027907343133901272,0.005597561079871023,1.3254528144477526e-13,0.0027907343135226727
IBM TREX + twirling,d8sg00tbh0os73eo4mp0,17.324909417,usage_estimation.quantum_seconds,80,MX_probe,0.6696996568190681,0.0029017398614371442,0.6976613207457192,0.027961663926651115
IBM TREX + twirling,d8sg00tbh0os73eo4mp0,17.324909417,usage_estimation.quantum_seconds,80,ZZ_probe,0.4746408684665862,0.0033577989181558933,0.49792324720473924,0.02328237873815303
Q-CTRL,683fec4d-6773-4952-9f9e-25ceec279e21,,unavailable,80,MZ_probe,-0.0008999999999999998,0.3534166043778928,1.3254528144477526e-13,0.000900000000132545
Q-CTRL,683fec4d-6773-4952-9f9e-25ceec279e21,,unavailable,80,MX_probe,0.68015,0.2583736610995788,0.6976613207457192,0.01751132074571915
Q-CTRL,683fec4d-6773-4952-9f9e-25ceec279e21,,unavailable,80,ZZ_probe,0.47452500000000003,0.311166907583374,0.49792324720473924,0.02339824720473921
QESEM,d82c6d70-e03b-40c7-b69f-cd6076d04cca,,unavailable,80,MZ_probe,-0.0036461084550727016,0.0019229583951813174,1.3254528144477526e-13,0.003646108455205247
QESEM,d82c6d70-e03b-40c7-b69f-cd6076d04cca,,unavailable,80,MX_probe,0.6756445406060416,0.011797949352756411,0.6976613207457192,0.02201678013967756
QESEM,d82c6d70-e03b-40c7-b69f-cd6076d04cca,,unavailable,80,ZZ_probe,0.5014976341728625,0.007982468416270245,0.49792324720473924,0.0035743869681232887
IBM raw,d8skudtposuc738nfilg,12.365719463,usage_estimation.quantum_seconds,100,MZ_probe,-0.030850000000000002,0.003532413940919156,1.737938222280517e-14,0.03085000000001738
IBM raw,d8skudtposuc738nfilg,12.365719463,usage_estimation.quantum_seconds,100,MX_probe,0.6646000000000001,0.0026318322752409587,0.6976613207235712,0.03306132072357115
IBM raw,d8skudtposuc738nfilg,12.365719463,usage_estimation.quantum_seconds,100,ZZ_probe,0.4278,0.0031875384703560833,0.49792324722138603,0.07012324722138602
